2022-07-05 14:45:01, Camera 1, 1, 1, 0
2022-07-05 14:50:01, Camera 1, 3, 2, 1
2022-07-05 14:55:00, Camera 1, 12, 8, 4
2022-07-05 15:00:04, Camera 1, 20, 12, 8
2022-07-05 15:25:01, Camera 1, 1, 1, 0
2022-07-05 15:30:12, Camera 1, 0, 0, 0
2022-07-05 15:45:47, Camera 1, 0, 0, 0
2022-07-05 15:55:00, Camera 1, 3, 2, 1
2022-07-05 16:00:01, Camera 1, 4, 2, 2
2022-07-05 18:15:00, Camera 1, 4, 1, 3
2022-07-05 18:35:01, Camera 1, 0, 0, 0
2022-07-05 18:45:00, Camera 1, 0, 0, 0
2022-07-05 18:50:00, Camera 1, 11, 8, 3
2022-07-05 19:00:10, Camera 1, 0, 0, 0
2022-07-05 19:05:00, Camera 1, 10, 7, 3
2022-07-05 19:15:02, Camera 1, 3, 2, 1
2022-07-05 19:15:04, Camera 1, 1, 1, 0
2022-07-05 19:20:01, Camera 1, 10, 7, 3
2022-07-05 19:25:00, Camera 1, 0, 0, 0
2022-07-05 19:30:01, Camera 1, 12, 5, 7
2022-07-05 19:35:36, Camera 1, 0, 0, 0
2022-07-05 19:40:01, Camera 1, 4, 1, 3
2022-07-05 19:50:00, Camera 1, 1, 1, 0
2022-07-05 20:05:00, Camera 1, 9, 4, 5
2022-07-05 20:15:01, Camera 1, 0, 0, 0
2022-07-05 20:20:01, Camera 1, 11, 8, 3
2022-07-05 20:30:00, Camera 1, 2, 0, 2
2022-07-05 20:50:05, Camera 1, 0, 0, 0
2022-07-05 20:55:01, Camera 1, 13, 6, 7
2022-07-05 21:00:13, Camera 1, 0, 0, 0
2022-07-05 21:05:03, Camera 1, 9, 3, 6
2022-07-05 21:20:08, Camera 1, 0, 0, 0
2022-07-05 21:25:15, Camera 1, 0, 0, 0
