2022-07-05 14:45:01, Camera 1, 1
2022-07-05 14:50:01, Camera 1, 2
2022-07-05 14:50:01, Camera 1, 1
2022-07-05 14:55:00, Camera 1, 3
2022-07-05 14:55:00, Camera 1, 9
2022-07-05 15:00:04, Camera 1, 4
2022-07-05 15:00:04, Camera 1, 16
2022-07-05 15:25:01, Camera 1, 1
2022-07-05 15:55:00, Camera 1, 2
2022-07-05 15:55:00, Camera 1, 1
2022-07-05 16:00:01, Camera 1, 3
2022-07-05 16:00:01, Camera 1, 1
2022-07-05 18:15:00, Camera 1, 4
2022-07-05 18:50:00, Camera 1, 11
2022-07-05 19:05:00, Camera 1, 10
2022-07-05 19:15:02, Camera 1, 3
2022-07-05 19:15:04, Camera 1, 1
2022-07-05 19:20:01, Camera 1, 10
2022-07-05 19:30:01, Camera 1, 10
2022-07-05 19:30:01, Camera 1, 1
2022-07-05 19:30:01, Camera 1, 1
2022-07-05 19:40:01, Camera 1, 4
2022-07-05 19:50:00, Camera 1, 1
2022-07-05 20:05:00, Camera 1, 7
2022-07-05 20:05:00, Camera 1, 1
2022-07-05 20:05:00, Camera 1, 1
2022-07-05 20:20:01, Camera 1, 11
2022-07-05 20:30:00, Camera 1, 2
2022-07-05 20:55:01, Camera 1, 11
2022-07-05 20:55:01, Camera 1, 1
2022-07-05 20:55:01, Camera 1, 1
2022-07-05 21:05:03, Camera 1, 9
